工程名称(编号):  中新科技城241A地块       (2009-K-255)
建设单位:        
孔号,深度,I,II,III,IV,V,VI
J76,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J76,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J76,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J76,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J76,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J76,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J77,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J77,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J77,20~30m,1.00,8.30,0.00,0.00,0.00,0.00
J77,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J77,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J77,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J77,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J77,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J77,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J77,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J77,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J78,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J78,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J78,20~30m,1.80,8.20,0.00,0.00,0.00,0.00
J78,30~40m,5.50,4.50,0.00,0.00,0.00,0.00
J78,40~50m,5.00,5.00,0.00,0.00,0.00,0.00
J78,50~60m,8.00,2.00,0.00,0.00,0.00,0.00
J78,60~80m,5.20,10.25,0.00,0.00,0.00,0.00
J78,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J78,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J78,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J78,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J79,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J79,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J79,20~30m,1.80,8.20,0.00,0.00,0.00,0.00
J79,30~40m,5.50,4.50,0.00,0.00,0.00,0.00
J79,40~50m,5.50,4.50,0.00,0.00,0.00,0.00
J79,50~60m,7.30,2.70,0.00,0.00,0.00,0.00
J79,60~80m,4.70,10.75,0.00,0.00,0.00,0.00
J79,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J79,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J79,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J79,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J8,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J8,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J8,20~30m,2.60,1.70,0.00,0.00,0.00,0.00
J8,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J8,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J8,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J8,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J8,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J8,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J8,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J8,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J80,0~10m,2.70,7.05,0.00,0.00,0.00,0.00
J80,10~20m,0.00,0.00,0.00,0.00,0.00,0.00
J80,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J80,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J80,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J80,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J80,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J80,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J80,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J80,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J80,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J81,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J81,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J81,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J81,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J81,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J81,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J81,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J81,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J81,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J81,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J81,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J82,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J82,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J82,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J82,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J82,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J82,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J82,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J82,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J82,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J82,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J82,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J83,0~10m,2.70,7.30,0.00,0.00,0.00,0.00
J83,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J83,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J83,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J83,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J83,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J83,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J83,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J83,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J83,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J83,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J84,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J84,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J84,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J84,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J84,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J84,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J84,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J84,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J84,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J84,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J84,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J85,0~10m,2.80,7.20,0.00,0.00,0.00,0.00
J85,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J85,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J85,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J85,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J85,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J85,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J85,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J85,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J85,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J85,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J86,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J86,10~20m,1.30,8.70,0.00,0.00,0.00,0.00
J86,20~30m,1.50,8.50,0.00,0.00,0.00,0.00
J86,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J86,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J86,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J86,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J86,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J86,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J86,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J86,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J87,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J87,10~20m,0.50,9.50,0.00,0.00,0.00,0.00
J87,20~30m,1.50,8.50,0.00,0.00,0.00,0.00
J87,30~40m,5.70,4.30,0.00,0.00,0.00,0.00
J87,40~50m,5.30,4.70,0.00,0.00,0.00,0.00
J87,50~60m,6.00,4.00,0.00,0.00,0.00,0.00
J87,60~80m,4.00,10.45,0.00,0.00,0.00,0.00
J87,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J87,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J87,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J87,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J88,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J88,10~20m,0.50,9.50,0.00,0.00,0.00,0.00
J88,20~30m,2.00,8.00,0.00,0.00,0.00,0.00
J88,30~40m,6.00,4.00,0.00,0.00,0.00,0.00
J88,40~50m,5.20,4.80,0.00,0.00,0.00,0.00
J88,50~60m,6.10,3.90,0.00,0.00,0.00,0.00
J88,60~80m,6.50,8.95,0.00,0.00,0.00,0.00
J88,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J88,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J88,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J88,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J89,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J89,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J89,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J89,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J89,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J89,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J89,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J89,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J89,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J89,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J89,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J9,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
J9,10~20m,0.80,8.50,0.00,0.00,0.00,0.00
J9,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J9,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J9,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J9,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J9,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J9,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J9,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J9,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J9,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J90,0~10m,2.70,7.30,0.00,0.00,0.00,0.00
J90,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J90,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J90,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J90,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J90,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J90,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J90,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J90,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J90,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J90,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J91,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J91,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J91,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J91,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J91,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J91,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J91,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J91,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J91,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J91,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J91,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J92,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J92,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J92,20~30m,2.00,8.00,0.00,0.00,0.00,0.00
J92,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J92,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J92,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J92,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J92,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J92,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J92,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J92,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J93,0~10m,2.00,8.00,0.00,0.00,0.00,0.00
J93,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J93,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J93,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J93,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J93,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J93,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J93,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J93,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J93,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J93,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J94,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J94,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J94,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J94,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J94,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J94,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J94,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J94,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J94,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J94,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J94,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J95,0~10m,2.80,7.20,0.00,0.00,0.00,0.00
J95,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J95,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J95,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J95,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J95,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J95,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J95,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J95,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J95,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J95,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J96,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J96,10~20m,0.00,1.45,0.00,0.00,0.00,0.00
J96,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J96,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J96,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J96,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J96,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J96,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J96,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J96,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J96,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J97,0~10m,2.00,8.00,0.00,0.00,0.00,0.00
J97,10~20m,0.20,9.80,0.00,0.00,0.00,0.00
J97,20~30m,1.90,8.10,0.00,0.00,0.00,0.00
J97,30~40m,5.50,4.50,0.00,0.00,0.00,0.00
J97,40~50m,5.00,5.00,0.00,0.00,0.00,0.00
J97,50~60m,6.50,3.50,0.00,0.00,0.00,0.00
J97,60~80m,4.20,11.25,0.00,0.00,0.00,0.00
J97,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J97,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J97,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J97,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J98,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J98,10~20m,1.20,8.80,0.00,0.00,0.00,0.00
J98,20~30m,2.00,8.00,0.00,0.00,0.00,0.00
J98,30~40m,6.00,4.00,0.00,0.00,0.00,0.00
J98,40~50m,5.00,5.00,0.00,0.00,0.00,0.00
J98,50~60m,6.90,3.10,0.00,0.00,0.00,0.00
J98,60~80m,4.50,9.95,0.00,0.00,0.00,0.00
J98,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J98,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J98,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J98,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J99,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J99,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J99,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J99,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J99,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J99,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J99,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J99,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J99,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J99,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J99,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C1,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
C1,10~20m,0.00,8.00,0.00,0.00,0.00,0.00
C1,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C1,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C1,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C1,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C1,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C1,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C1,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C1,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C1,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C100,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
C100,10~20m,0.00,5.00,0.00,0.00,0.00,0.00
C100,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C100,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C100,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C100,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C100,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C100,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C100,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C100,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C100,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C101,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
C101,10~20m,0.00,0.00,0.00,0.00,0.00,0.00
C101,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C101,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C101,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C101,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C101,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C101,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C101,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C101,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C101,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C102,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
C102,10~20m,0.00,7.00,0.00,0.00,0.00,0.00
C102,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C102,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C102,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C102,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C102,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C102,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C102,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C102,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C102,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C103,0~10m,2.60,7.40,0.00,0.00,0.00,0.00
C103,10~20m,0.00,7.00,0.00,0.00,0.00,0.00
C103,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C103,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C103,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C103,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C103,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C103,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C103,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C103,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C103,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C104,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
C104,10~20m,0.00,7.00,0.00,0.00,0.00,0.00
C104,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C104,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C104,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C104,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C104,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C104,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C104,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C104,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C104,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C105,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
C105,10~20m,0.40,8.60,0.00,0.00,0.00,0.00
C105,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C105,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C105,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C105,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C105,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C105,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C105,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C105,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C105,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C106,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
C106,10~20m,0.00,8.00,0.00,0.00,0.00,0.00
C106,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C106,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C106,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C106,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C106,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C106,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C106,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C106,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C106,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C107,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
C107,10~20m,0.00,8.00,0.00,0.00,0.00,0.00
C107,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C107,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C107,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C107,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C107,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C107,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C107,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C107,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C107,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C11,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
C11,10~20m,0.00,8.00,0.00,0.00,0.00,0.00
C11,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C11,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C11,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C11,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C11,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C11,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C11,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C11,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C11,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C129,0~10m,1.80,8.20,0.00,0.00,0.00,0.00
C129,10~20m,0.00,8.00,0.00,0.00,0.00,0.00
C129,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C129,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C129,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C129,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C129,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C129,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C129,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C129,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C129,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C13,0~10m,2.60,7.40,0.00,0.00,0.00,0.00
C13,10~20m,0.20,7.80,0.00,0.00,0.00,0.00
C13,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C13,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C13,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C13,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C13,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C13,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C13,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C13,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C13,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C130,0~10m,2.20,7.80,0.00,0.00,0.00,0.00
C130,10~20m,0.00,7.00,0.00,0.00,0.00,0.00
C130,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C130,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C130,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C130,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C130,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C130,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C130,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C130,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C130,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
C131,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
C131,10~20m,0.00,7.00,0.00,0.00,0.00,0.00
C131,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
C131,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
C131,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
C131,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
C131,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
C131,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
C131,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
C131,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
C131,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
