工程名称(编号):  中新科技城241A地块       (2009-K-255)
建设单位:        
孔号,深度,I,II,III,IV,V,VI
J10,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J10,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J10,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J10,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J10,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J100,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J100,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J100,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J100,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J100,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J100,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J100,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J100,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J100,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J100,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J100,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J101,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J101,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J101,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J101,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J101,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J101,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J101,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J101,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J101,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J101,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J101,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J102,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J102,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J102,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J102,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J102,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J102,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J102,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J102,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J102,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J102,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J102,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J103,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J103,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J103,20~30m,2.50,7.50,0.00,0.00,0.00,0.00
J103,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J103,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J103,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J103,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J103,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J103,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J103,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J103,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J104,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J104,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J104,20~30m,2.30,7.70,0.00,0.00,0.00,0.00
J104,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J104,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J104,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J104,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J104,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J104,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J104,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J104,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J105,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J105,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J105,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J105,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J105,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J105,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J105,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J105,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J105,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J105,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J105,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J106,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J106,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J106,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J106,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J106,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J106,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J106,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J106,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J106,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J106,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J106,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J107,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J107,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J107,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J107,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J107,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J107,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J107,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J107,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J107,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J107,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J107,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J108,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J108,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J108,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J108,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J108,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J108,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J108,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J108,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J108,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J108,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J108,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J109,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J109,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J109,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J109,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J109,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J109,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J109,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J109,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J109,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J109,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J109,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J11,0~10m,0.00,10.00,0.00,0.00,0.00,0.00
J11,10~20m,1.30,8.70,0.00,0.00,0.00,0.00
J11,20~30m,1.80,4.50,0.00,0.00,0.00,0.00
J11,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
